"Event_name","Event_url","Event_Date","Event_Location","Event_fighter_name","Event_fighter_url","Event_fighter_KD","Event_fighter_STR","Event_fighter_TD","Event_fighter_WiDivision","Event_fighter_win","Event_fighter_win_url","Event_fighter_selection1","Event_fighter_ROUND","Event_fighter_TIME"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Alexander Gustafsson","http://www.ufcstats.com/fighter-details/3c6976f8182d9527","1","21","1","Light Heavyweight","win","http://www.ufcstats.com/fight-details/742fcd610f344810","KO/TKO","2","1:18"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Jimi Manuwa","http://www.ufcstats.com/fighter-details/1e1dbd1cc5a7469e","0","13","0","Light Heavyweight","","","","2","1:18"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Michael Johnson","http://www.ufcstats.com/fighter-details/511e82663651438d","0","48","1","Lightweight","win","http://www.ufcstats.com/fight-details/73f55778c5c55c2f","U-DEC","3","5:00"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Melvin Guillard","http://www.ufcstats.com/fighter-details/ccd1299e0345e0ce","0","22","0","Lightweight","","","","3","5:00"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Brad Pickett","http://www.ufcstats.com/fighter-details/c945adc22c2bfe8f","0","49","4","Flyweight","win","http://www.ufcstats.com/fight-details/b5be58e7fa1e7439","U-DEC","3","5:00"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Neil Seery","http://www.ufcstats.com/fighter-details/49a74b9fb2e45fdf","0","47","0","Flyweight","","","","3","5:00"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Gunnar Nelson","http://www.ufcstats.com/fighter-details/fd55393021a8c255","0","16","1","Welterweight","win","http://www.ufcstats.com/fight-details/0b3c3d363c82835f","SUB","1","4:36"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Omari Akhmedov","http://www.ufcstats.com/fighter-details/16690d100f995f8f","0","6","0","Welterweight","","","","1","4:36"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Ilir Latifi","http://www.ufcstats.com/fighter-details/e9a3aeb207578eea","0","0","1","Light Heavyweight","win","http://www.ufcstats.com/fight-details/6242126d8d06a7ca","SUB","1","3:02"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Cyrille Diabate","http://www.ufcstats.com/fighter-details/43563a32c3f10e95","0","0","0","Light Heavyweight","","","","1","3:02"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Luke Barnatt","http://www.ufcstats.com/fighter-details/172c2135e70f87b7","0","45","0","Middleweight","win","http://www.ufcstats.com/fight-details/406154260435c65a","KO/TKO","1","4:24"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Mats Nilsson","http://www.ufcstats.com/fighter-details/a9bcf8717dd12532","0","25","0","Middleweight","","","","1","4:24"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Claudio Silva","http://www.ufcstats.com/fighter-details/6f7c616b98e18c29","0","36","3","Middleweight","win","http://www.ufcstats.com/fight-details/4911fcfb1b28faa5","U-DEC","3","5:00"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Brad Scott","http://www.ufcstats.com/fighter-details/34e552520a934063","0","41","0","Middleweight","","","","3","5:00"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Igor Araujo","http://www.ufcstats.com/fighter-details/dbea8c1cb327ab3d","0","12","0","Welterweight","win","http://www.ufcstats.com/fight-details/54845ec0646a9bee","U-DEC","3","5:00"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Danny Mitchell","http://www.ufcstats.com/fighter-details/c06d554ce1713fd3","0","18","0","Welterweight","","","","3","5:00"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Phil Harris","http://www.ufcstats.com/fighter-details/ba043b03eb799063","0","3","0","Flyweight","nc","http://www.ufcstats.com/fight-details/443791a8c6790cf0","Overturned","1","1:13"
"UFC Fight Night: Gustafsson vs Manuwa","http://www.ufcstats.com/event-details/ebc1f40e00e0c481","March 08, 2014","London, England, United Kingdom","Louis Gaudinot","http://www.ufcstats.com/fighter-details/b72a60a0cadff408","0","2","0","Flyweight","","","","1","1:13"
"UFC Fight Night: Kim vs Hathaway","http://www.ufcstats.com/event-details/a26198ba5093147e","March 01, 2014","Macau, China","Dong Hyun Kim","http://www.ufcstats.com/fighter-details/9bcf8603ceb25680","2","27","1","Welterweight","win","http://www.ufcstats.com/fight-details/e38d7761a92e1bf9","KO/TKO","3","1:02"
"UFC Fight Night: Kim vs Hathaway","http://www.ufcstats.com/event-details/a26198ba5093147e","March 01, 2014","Macau, China","John Hathaway","http://www.ufcstats.com/fighter-details/28f3c2258a1d8874","0","27","1","Welterweight","","","","3","1:02"
"UFC Fight Night: Kim vs Hathaway","http://www.ufcstats.com/event-details/a26198ba5093147e","March 01, 2014","Macau, China","Zhang Lipeng","http://www.ufcstats.com/fighter-details/7b310409440c9102","0","10","4","Welterweight","win","http://www.ufcstats.com/fight-details/0fea1cff62e26b46","S-DEC","3","5:00"
"UFC Fight Night: Kim vs Hathaway","http://www.ufcstats.com/event-details/a26198ba5093147e","March 01, 2014","Macau, China","Sai Wang","http://www.ufcstats.com/fighter-details/efb9a43415a56d34","0","31","0","Welterweight","","","","3","5:00"
"UFC Fight Night: Kim vs Hathaway","http://www.ufcstats.com/event-details/a26198ba5093147e","March 01, 2014","Macau, China","Matt Mitrione","http://www.ufcstats.com/fighter-details/ba280572acfba13f","1","24","0","Heavyweight","win","http://www.ufcstats.com/fight-details/82448697e7a44028","KO/TKO","1","4:59"
"UFC Fight Night: Kim vs Hathaway","http://www.ufcstats.com/event-details/a26198ba5093147e","March 01, 2014","Macau, China","Shawn Jordan","http://www.ufcstats.com/fighter-details/ca2efc9d7d523c43","0","15","0","Heavyweight","","","","1","4:59"
"UFC Fight Night: Kim vs Hathaway","http://www.ufcstats.com/event-details/a26198ba5093147e","March 01, 2014","Macau, China","Hatsu Hioki","http://www.ufcstats.com/fighter-details/ef7fa30364cbe7f2","0","29","4","Featherweight","win","http://www.ufcstats.com/fight-details/57ab45aa1ebd087e","U-DEC","3","5:00"
"UFC Fight Night: Kim vs Hathaway","http://www.ufcstats.com/event-details/a26198ba5093147e","March 01, 2014","Macau, China","Ivan Menjivar","http://www.ufcstats.com/fighter-details/5755960ebd0b16f6","1","27","0","Featherweight","","","","3","5:00"
"UFC Fight Night: Kim vs Hathaway","http://www.ufcstats.com/event-details/a26198ba5093147e","March 01, 2014","Macau, China","Yui Chul Nam","http://www.ufcstats.com/fighter-details/a00ec21cfbba17b6","3","77","1","Lightweight","win","http://www.ufcstats.com/fight-details/c53a5dca56870ea5","S-DEC","3","5:00"
